hour_of_day,day_of_week,is_off_hours,severity,category_risk,role_risk_score,status_risk,bytes_zscore,user_event_count,user_patient_access_count,user_failed_login_count,is_anomaly
1,0,1,3,4,1,0,-0.0868,155,44,7,1
2,0,1,3,4,2,0,-0.0952,167,45,7,1
3,0,1,2,4,4,0,-0.1096,169,49,8,1
4,0,1,3,4,3,0,-0.1017,161,39,7,1
4,0,1,2,4,2,0,-0.0768,163,34,10,1
15,0,0,1,3,2,3,-0.0928,165,36,8,0
15,0,0,5,2,3,3,-0.0882,173,35,9,1
15,0,0,2,1,2,0,-0.0848,185,47,7,0
15,0,0,1,1,2,0,-0.1228,163,34,10,0
15,0,0,2,3,2,3,-0.0796,157,41,10,0
15,0,0,3,4,2,2,-0.0821,192,41,12,0
15,0,0,2,1,3,3,-0.1264,175,44,16,0
15,0,0,3,4,3,0,-0.1213,158,32,11,0
15,0,0,3,3,2,3,-0.1108,199,39,12,0
15,0,0,5,2,3,4,-0.1048,168,44,7,0
15,0,0,3,4,3,0,-0.1235,182,45,8,0
15,0,0,1,3,3,3,-0.0973,167,34,17,0
15,0,0,4,3,2,5,-0.1192,151,30,9,0
15,0,0,4,2,3,3,-0.1191,194,40,20,1
15,0,0,5,2,4,3,-0.0964,168,41,9,1
15,0,0,2,3,2,0,-0.1235,170,43,8,0
15,0,0,2,1,3,0,-0.1017,193,47,10,0
15,0,0,5,3,2,5,-0.122,164,36,11,0
15,0,0,4,4,3,0,-0.0846,165,33,10,0
15,0,0,2,1,1,1,-0.1176,151,41,14,0
15,0,0,4,3,1,5,-0.1208,189,49,15,0
15,0,0,4,4,3,2,-0.1197,169,46,5,0
15,0,0,5,2,3,4,-0.09,163,37,6,0
15,0,0,2,2,2,0,-0.0769,165,44,12,0
15,0,0,1,2,3,0,-0.0888,192,43,14,0
15,0,0,1,2,2,0,-0.0871,186,42,7,0
15,0,0,2,4,3,2,-0.0861,184,38,7,0
15,0,0,1,3,4,0,-0.1011,169,49,8,0
16,0,0,1,4,2,0,-0.1258,163,34,10,0
16,0,0,3,3,3,0,-0.1105,165,25,16,0
16,0,0,1,3,2,3,-0.1254,164,36,11,0
16,0,0,3,2,3,3,-0.1246,182,45,8,0
16,0,0,5,2,2,4,-0.126,164,28,10,0
16,0,0,2,1,3,1,-0.1245,164,39,8,0
16,0,0,2,2,2,0,-0.1068,178,44,11,0
16,0,0,2,3,2,0,-0.1261,180,41,8,0
16,0,0,5,4,1,0,-0.1158,158,32,11,1
16,0,0,4,2,4,4,-0.1225,165,38,8,0
16,0,0,1,3,3,0,-0.1209,158,32,11,0
16,0,0,2,1,4,2,-0.1145,160,34,11,0
16,0,0,1,2,2,3,-0.1137,204,49,9,0
16,0,0,2,1,2,0,-0.077,157,39,9,0
16,0,0,1,3,2,0,-0.1218,181,46,12,0
16,0,0,2,1,2,0,-0.1245,157,44,18,0
16,0,0,5,2,2,5,-0.1178,167,36,16,0
16,0,0,2,1,2,0,-0.1026,192,41,12,0
16,0,0,2,2,2,0,-0.1201,170,43,8,0
16,0,0,2,2,2,0,-0.0858,184,57,6,0
16,0,0,2,3,2,3,-0.1226,181,46,12,0
16,0,0,4,2,3,5,-0.0814,173,35,9,0
16,0,0,4,2,1,4,-0.087,168,31,8,0
16,0,0,1,3,3,3,-0.1132,172,41,5,0
16,0,0,1,1,2,0,-0.0874,181,46,12,0
16,0,0,1,2,3,0,-0.1046,167,34,17,0
16,0,0,1,1,1,0,-0.1138,189,49,15,0
16,0,0,4,4,2,0,-0.1199,191,47,14,0
16,0,0,3,4,2,0,-0.1056,151,30,9,0
16,0,0,5,2,2,4,-0.1124,184,57,6,0
16,0,0,1,1,3,1,-0.0985,165,33,10,0
16,0,0,1,2,1,0,-0.0897,175,52,8,0
16,0,0,5,2,4,5,-0.1213,158,33,11,0
16,0,0,4,4,3,0,-0.1089,172,41,5,0
16,0,0,5,2,4,3,-0.1221,169,49,8,0
16,0,0,2,1,2,3,-0.1219,174,41,9,0
16,0,0,1,1,2,0,-0.0836,165,36,8,0
16,0,0,1,2,3,0,-0.1249,159,36,11,0
17,0,0,2,2,3,0,-0.0907,182,45,8,0
17,0,0,2,3,3,3,-0.0812,165,33,10,0
17,0,0,1,1,4,0,-0.0974,158,33,11,0
17,0,0,4,2,3,4,-0.1225,193,46,16,0
17,0,0,4,2,3,4,-0.1059,169,42,4,0
17,0,0,3,2,3,4,-0.1001,161,39,7,0
17,0,0,1,2,2,2,-0.1055,199,39,12,0
17,0,0,3,2,2,0,-0.0951,165,44,12,0
17,0,0,4,2,3,5,-0.1022,184,38,7,0
17,0,0,3,4,3,2,-0.1055,192,49,7,0
17,0,0,3,4,3,2,-0.106,165,33,10,0
17,0,0,3,1,2,3,-0.1221,192,41,12,0
17,0,0,4,1,3,2,-0.1048,165,25,16,0
17,0,0,2,4,4,0,-0.1157,165,38,8,0
17,0,0,4,4,2,0,0.0179,157,41,10,1
17,0,0,2,3,2,3,-0.0929,174,41,9,0
17,0,0,2,2,2,0,-0.1266,181,46,12,0
17,0,0,4,4,3,2,-0.1125,169,42,4,0
17,0,0,5,2,3,4,-0.0942,165,25,16,0
17,0,0,4,1,2,3,-0.1071,178,44,11,1
17,0,0,5,2,2,3,-0.1174,167,34,8,1
17,0,0,1,1,3,0,-0.1168,158,32,11,0
17,0,0,1,3,2,3,-0.1146,167,45,7,0
17,0,0,5,4,1,0,-0.1012,167,36,16,1
17,0,0,3,4,2,0,-0.1001,157,41,10,0
17,0,0,3,1,3,2,-0.1218,179,41,9,0
17,0,0,1,3,3,3,-0.1221,169,46,5,0
17,0,0,3,2,2,0,-0.0766,199,39,12,0
17,0,0,4,1,3,2,-0.1082,193,47,10,0
18,0,0,3,2,2,0,-0.112,165,44,12,0
18,0,0,1,1,1,0,-0.1236,189,49,15,0
18,0,0,2,4,2,2,-0.1051,167,34,8,0
18,0,0,2,4,3,0,-0.1046,169,42,4,0
18,0,0,2,1,3,0,-0.0991,165,33,10,0
18,0,0,3,1,3,3,-0.1043,158,32,11,0
18,0,0,1,1,3,0,-0.1221,192,43,14,0
18,0,0,3,2,3,5,-0.1158,169,46,5,0
18,0,0,2,3,3,3,-0.1038,168,44,7,0
18,0,0,1,1,3,0,-0.0938,163,37,6,0
18,0,0,1,1,2,0,-0.0875,157,41,10,0
18,0,0,4,1,2,2,-0.1109,173,50,8,0
18,0,0,1,2,3,0,-0.111,173,35,9,0
18,0,0,1,1,3,0,-0.0954,169,42,4,0
18,0,0,5,4,3,0,6.6892,172,47,9,1
18,0,0,2,2,3,2,-0.1051,146,30,6,0
18,0,0,3,4,3,2,-0.1208,193,47,10,0
18,0,0,5,3,3,5,-0.1007,194,40,20,1
18,0,0,5,4,1,0,-0.1242,146,30,6,1
18,0,0,2,1,2,1,-0.1211,181,46,12,0
