hour_of_day,day_of_week,is_off_hours,severity,category_risk,role_risk_score,status_risk,bytes_zscore,user_event_count,user_patient_access_count,user_failed_login_count,is_anomaly,anomaly_score,risk_score,risk_level
1,0,1,3,4,1,0,-0.0868,155,44,7,0,0.5918188875417357,45.0,Medium
2,0,1,3,4,2,0,-0.0952,167,45,7,0,0.3615295585200837,48.3,Medium
3,0,1,2,4,4,0,-0.1096,169,49,8,0,0.4670481607181899,50.0,Medium
4,0,1,3,4,3,0,-0.1017,161,39,7,0,0.4002918447569722,51.7,High
4,0,1,2,4,2,0,-0.0768,163,34,10,0,0.4420081054030097,43.3,Medium
15,0,0,1,3,2,3,-0.0928,165,36,8,0,0.21148614657105802,25.3,Medium
15,0,0,5,2,3,3,-0.0882,173,35,9,0,0.27546232753447053,43.7,Medium
15,0,0,2,1,2,0,-0.0848,185,47,7,0,0.21580281185980765,8.3,Low
15,0,0,1,1,2,0,-0.1228,163,34,10,0,0.19453305395788267,3.3,Low
15,0,0,2,3,2,3,-0.0796,157,41,10,0,0.23667289680499737,30.3,Medium
15,0,0,3,4,2,2,-0.0821,192,41,12,0,0.24628241665908945,36.3,Medium
15,0,0,2,1,3,3,-0.1264,175,44,16,0,0.34659480824754507,23.7,Medium
15,0,0,3,4,3,0,-0.1213,158,32,11,0,0.310338830638336,31.7,Medium
15,0,0,3,3,2,3,-0.1108,199,39,12,0,0.23087363968691388,35.3,Medium
15,0,0,5,2,3,4,-0.1048,168,44,7,0,0.2935541948050928,47.7,Medium
15,0,0,3,4,3,0,-0.1235,182,45,8,0,0.19472355536977037,31.7,Medium
15,0,0,1,3,3,3,-0.0973,167,34,17,0,0.3597936767681401,28.7,Medium
15,0,0,4,3,2,5,-0.1192,151,30,9,0,0.47467209356294615,48.3,Medium
15,0,0,4,2,3,3,-0.1191,194,40,20,0,0.5184522042806182,38.7,Medium
15,0,0,5,2,4,3,-0.0964,168,41,9,0,0.4117648190943126,47.0,Medium
15,0,0,2,3,2,0,-0.1235,170,43,8,0,0.10837294379730811,18.3,Low
15,0,0,2,1,3,0,-0.1017,193,47,10,0,0.24889468133960102,11.7,Low
15,0,0,5,3,2,5,-0.122,164,36,11,0,0.38404948703250574,53.3,High
15,0,0,4,4,3,0,-0.0846,165,33,10,0,0.35520735892487576,36.7,Medium
15,0,0,2,1,1,1,-0.1176,151,41,14,0,0.40344751969854775,9.0,Low
15,0,0,4,3,1,5,-0.1208,189,49,15,0,0.5496002197588918,45.0,Medium
15,0,0,4,4,3,2,-0.1197,169,46,5,0,0.28076759562198117,44.7,Medium
15,0,0,5,2,3,4,-0.09,163,37,6,0,0.3558359389419198,47.7,Medium
15,0,0,2,2,2,0,-0.0769,165,44,12,0,0.14148975725818647,13.3,Low
15,0,0,1,2,3,0,-0.0888,192,43,14,0,0.24531448800497568,11.7,Low
15,0,0,1,2,2,0,-0.0871,186,42,7,0,0.17682514607106203,8.3,Low
15,0,0,2,4,3,2,-0.0861,184,38,7,0,0.2699668710388766,34.7,Medium
15,0,0,1,3,4,0,-0.1011,169,49,8,0,0.3444343791865283,20.0,Low
16,0,0,1,4,2,0,-0.1258,163,34,10,0,0.2374882299509311,18.3,Low
16,0,0,3,3,3,0,-0.1105,165,25,16,0,0.38826436673599884,26.7,Medium
16,0,0,1,3,2,3,-0.1254,164,36,11,0,0.21520143034491057,25.3,Medium
16,0,0,3,2,3,3,-0.1246,182,45,8,0,0.15830538896155166,33.7,Medium
16,0,0,5,2,2,4,-0.126,164,28,10,0,0.4741255638764037,44.3,Medium
16,0,0,2,1,3,1,-0.1245,164,39,8,0,0.22472669898875253,15.7,Low
16,0,0,2,2,2,0,-0.1068,178,44,11,0,0.07251422630029492,13.3,Low
16,0,0,2,3,2,0,-0.1261,180,41,8,0,0.148234023562141,18.3,Low
16,0,0,5,4,1,0,-0.1158,158,32,11,0,0.544874190782582,35.0,Medium
16,0,0,4,2,4,4,-0.1225,165,38,8,0,0.38239952046282344,46.0,Medium
16,0,0,1,3,3,0,-0.1209,158,32,11,0,0.25344887123867066,16.7,Low
16,0,0,2,1,4,2,-0.1145,160,34,11,0,0.40450756694441814,23.0,Medium
16,0,0,1,2,2,3,-0.1137,204,49,9,0,0.4121888057996844,20.3,Low
16,0,0,2,1,2,0,-0.077,157,39,9,0,0.24375163364382435,8.3,Low
16,0,0,1,3,2,0,-0.1218,181,46,12,0,0.16429973972116785,13.3,Low
16,0,0,2,1,2,0,-0.1245,157,44,18,0,0.4051521040483824,8.3,Low
16,0,0,5,2,2,5,-0.1178,167,36,16,0,0.46279275539573195,48.3,Medium
16,0,0,2,1,2,0,-0.1026,192,41,12,0,0.2256850249233403,8.3,Low
16,0,0,2,2,2,0,-0.1201,170,43,8,0,0.08928072643984264,13.3,Low
16,0,0,2,2,2,0,-0.0858,184,57,6,0,0.29738247716855326,13.3,Low
16,0,0,2,3,2,3,-0.1226,181,46,12,0,0.18541833629161464,30.3,Medium
16,0,0,4,2,3,5,-0.0814,173,35,9,0,0.3459245814836098,46.7,Medium
16,0,0,4,2,1,4,-0.087,168,31,8,0,0.41208793137273814,36.0,Medium
16,0,0,1,3,3,3,-0.1132,172,41,5,0,0.24508387302214008,28.7,Medium
16,0,0,1,1,2,0,-0.0874,181,46,12,0,0.19278744620856925,3.3,Low
16,0,0,1,2,3,0,-0.1046,167,34,17,0,0.29460033906397176,11.7,Low
16,0,0,1,1,1,0,-0.1138,189,49,15,0,0.4451594577190239,0.0,Low
16,0,0,4,4,2,0,-0.1199,191,47,14,0,0.34552246998035097,33.3,Medium
16,0,0,3,4,2,0,-0.1056,151,30,9,0,0.3475279262252786,28.3,Medium
16,0,0,5,2,2,4,-0.1124,184,57,6,0,0.4420150432722546,44.3,Medium
16,0,0,1,1,3,1,-0.0985,165,33,10,0,0.2705363777370774,10.7,Low
16,0,0,1,2,1,0,-0.0897,175,52,8,0,0.369117919985985,5.0,Low
16,0,0,5,2,4,5,-0.1213,158,33,11,0,0.5876222314193986,55.0,High
16,0,0,4,4,3,0,-0.1089,172,41,5,0,0.29062343418238645,36.7,Medium
16,0,0,5,2,4,3,-0.1221,169,49,8,0,0.468671478069536,47.0,Medium
16,0,0,2,1,2,3,-0.1219,174,41,9,0,0.22451887244556945,20.3,Low
16,0,0,1,1,2,0,-0.0836,165,36,8,0,0.19046097436746634,3.3,Low
16,0,0,1,2,3,0,-0.1249,159,36,11,0,0.2054382926638616,11.7,Low
17,0,0,2,2,3,0,-0.0907,182,45,8,0,0.13252476810951008,16.7,Low
17,0,0,2,3,3,3,-0.0812,165,33,10,0,0.22162768075249895,33.7,Medium
17,0,0,1,1,4,0,-0.0974,158,33,11,0,0.4028263997565359,10.0,Low
17,0,0,4,2,3,4,-0.1225,193,46,16,0,0.41577893294375134,42.7,Medium
17,0,0,4,2,3,4,-0.1059,169,42,4,0,0.3000714080624015,42.7,Medium
17,0,0,3,2,3,4,-0.1001,161,39,7,0,0.2586654600041357,37.7,Medium
17,0,0,1,2,2,2,-0.1055,199,39,12,0,0.2815699139438823,16.3,Low
17,0,0,3,2,2,0,-0.0951,165,44,12,0,0.12316398868339207,18.3,Low
17,0,0,4,2,3,5,-0.1022,184,38,7,0,0.34345188966736706,46.7,Medium
17,0,0,3,4,3,2,-0.1055,192,49,7,0,0.295281119974644,39.7,Medium
17,0,0,3,4,3,2,-0.106,165,33,10,0,0.2639192575722138,39.7,Medium
17,0,0,3,1,2,3,-0.1221,192,41,12,0,0.2777319723860219,25.3,Medium
17,0,0,4,1,3,2,-0.1048,165,25,16,0,0.5055985373370382,29.7,Medium
17,0,0,2,4,4,0,-0.1157,165,38,8,0,0.3357526551777755,30.0,Medium
17,0,0,4,4,2,0,0.0179,157,41,10,0,0.3951322726605927,33.4,Medium
17,0,0,2,3,2,3,-0.0929,174,41,9,0,0.14549157586920847,30.3,Medium
17,0,0,2,2,2,0,-0.1266,181,46,12,0,0.12667295675636825,13.3,Low
